1143952,935106,857030,1203042,1115251,9185,6681,1191777,667236,7158,1199024,3225,269128,290,1065477,1755,462852,465740,1183359,1202068,272135,5762,993911,1329,994784,7711,192485,315,1639,1004377,1126967,759016,6121,4258,4992,505222,1202163,1137083,501962,10325,1090969,7208,5498,7179,941475,8606,5112,1197686,10288,1118203,1087903,7107,804259,4803,7556,1058114,403745,1170713,7166,477948,8691,941483,198,7254,43490,42025,1129340,6597,208834,9056,6643,2350,10075,415906,3476,1042895,2922,1203668,8112,63050,858165,686733,2744,1161916,8733,43906,10625,179296,269335,3707,1545,43908,456184,9765,822302,1177211,1806,3589,5560,4085
1175049,1186716,1199413,427098,166750,1210923,1197594,1143952,857030,1203042,1115251,1065477,6681,667236,1191777,9185,1199024,7158,1755,269128,462852,3225,5762,465740,272135,1329,994784,10325,941475,1090969,192485,290,1183359,993911,1004377,1202068,1639,7556,6121,4258,1202163,505222,1118203,1126967,7179,4992,315,501962,7711,7208,1137083,1204730,1058114,759016,7254,10288,5498,198,1177211,1087903,8691,7166,7107,804259,477948,8606,43490,270456,9765,208834,941483,1197686,403745,2350,5112,10075,5560,4803,6597,8733,4380,42025,1129340,1161916,141175,8112,6643,1071813,5444,2744,894922,63050,858165,3476,9056,1545,179296,170886,1807,456184
857030,1203042,1115251,6681,667236,1065477,1191777,1199024,7158,9185,269128,1755,462852,3225,465740,1329,10325,272135,4258,1090969,5762,994784,1126967,7556,941475,1004377,1202068,192485,7208,7179,6121,1639,1118203,290,1058114,4992,505222,501962,1183359,1177211,1211733,315,5498,8606,1137083,7711,7254,7107,759016,43490,993911,8112,1087903,270456,477948,8691,10288,7166,403745,804259,198,1204730,941483,1197686,1202632,3707,9765,42025,5112,10075,141175,2350,9056,1129340,1161916,5444,170886,6597,1071813,6305,1203668,208834,1202163,1132110,2922,1807,410293,894922,63050,4380,179296,921715,686733,500571,5560,6643,6472,8733,4803,1545
1165369,1212779,857030,1211077,1203042,1115251,1206446,6681,1065477,9504,1199024,1207731,667236,1197579,1214622,269128,1191777,7158,1755,465740,462852,1211733,10325,9185,1329,3225,5762,941475,4258,994784,272135,7556,1090969,7208,1202068,1004377,1126967,6121,7179,192485,1639,8112,1212673,759016,505222,1197686,1118203,8606,10075,1183359,315,1137083,7107,7166,290,4992,1177211,1087903,501962,5498,7254,1058114,686733,993911,1202163,403745,477948,1210486,1211617,43490,198,270456,10288,7711,1204730,8733,1213070,5444,5112,4803,8691,804259,1202632,410293,941483,141175,3707,9765,9056,3852,208834,6305,1482,1128065,7520,1129340,42025,2922,6643,1132110
857030,1065477,1115251,1199024,1203042,6681,667236,269128,7158,1755,462852,465740,3225,10325,9185,993911,5762,1214867,4258,1329,9504,994784,941475,272135,1210522,1126967,7556,1214484,192485,7208,6121,1004377,7179,1639,1191774,1090969,1202163,315,501962,8606,505222,921715,4992,759016,63050,10075,7166,477948,1202068,1087903,7107,7254,1213004,3707,290,8112,1177211,5498,198,804259,1137083,3852,1202632,270456,43490,4803,6643,5560,686733,8691,2922,8733,9056,1058114,7711,403745,1210486,5112,1118203,4648,1203668,1164092,10288,42025,1132110,2744,5444,10625,6305,179296,2350,1482,9765,7029,8918,443179,6472,1206329,186172,456184
828603,1199375,1218797,1167514,1218769,1216477,1189298,1210785,857030,1065477,1199024,1115251,1203042,9862,6681,667236,269128,1214867,977194,1210522,465740,462852,7158,1191774,3225,993911,10325,9185,272135,1202632,1329,1214484,941475,994784,4258,6121,1755,1206329,79526,192485,5762,505222,1126967,7179,290,63050,501962,315,1004377,8606,1202163,7208,10075,1215812,1213004,1090969,1210486,185559,8918,219008,759016,5498,7166,1639,7556,1087903,1137083,4281,43490,416093,4992,6320,8112,477948,175722,7107,686733,1058114,6897,5112,6643,2922,9504,2744,3707,804259,1177211,2350,6305,1185439,4803,9765,198,7254,4695,10288,8691,1077173,1203668,6597
1087691,1214198,857030,1213984,1065477,1115251,1203042,6681,890195,1199024,667236,269128,1214867,1210522,465740,462852,7158,272135,1191774,9862,10325,9185,1329,1174866,3225,994784,941475,5762,6121,192485,470955,290,1214484,63050,4258,7179,993911,1755,977194,1004377,8918,505222,501962,5498,315,8606,1202163,4281,7208,812396,1090969,10075,219008,1087903,175722,4992,5112,43490,1137083,416093,1639,1215812,1126967,7556,6897,6320,759016,8183,7107,686733,477948,1203668,8691,7254,6643,198,1185439,8112,7166,921715,971540,6305,1077173,4695,1129340,2350,1058114,8733,1217996,1213004,1210486,2744,10288,7791,2922,456184,1206329,7219,9056,7711
7158,505222,857030,1065477,1115251,6681,1203042,667236,269128,1191774,1199024,462852,1210522,1214867,465740,272135,10325,3225,1755,1329,1214484,994784,9185,993911,941475,5762,1126967,6121,192485,7179,63050,4258,1217996,1210486,8918,1202163,5498,1004377,7556,4992,1087903,1639,290,501962,1137083,1090969,4281,315,10075,8606,43490,7208,759016,219008,7254,8112,7166,7107,686733,6320,5112,1220934,1215812,1213004,10625,175722,8691,7711,6643,477948,270456,10288,6897,416093,8097,1203668,4695,2350,971540,198,1129340,8183,42025,1197781,1210555,7791,9862,1058114,9056,977194,1077173,8733,4803,804259,6597,1071813,2744,208834,6305,7520
1222430,1069269,1200242,1223810,7158,10188,1217874,505222,857030,1065477,1115251,1191774,7179,6681,1203042,667236,269128,1217996,1214867,465740,462852,10325,1214484,1755,272135,9185,3225,1126967,1329,993911,5762,1178759,1210522,192485,994784,1220934,941475,1221989,7556,1218226,6121,63050,1004377,8606,5498,1202163,7208,4258,1087903,1090969,1137083,1639,43490,4992,501962,7711,5112,315,1213004,8918,759016,7107,686733,7254,7166,198,10075,290,8112,219008,10288,1210486,4281,6643,4695,8691,1058114,270456,9056,1215812,6897,6305,403745,118277,1203668,6320,4803,1162526,477948,971540,1129340,416093,4123,1213003,175722,804259,42025,8183,1212448,1132110
1129982,1224981,2231,1755,752647,1224245,1226079,1203465,7158,857030,1215038,505222,1115251,1222107,10188,1065477,667236,1203042,1221989,6681,7179,1214867,1214484,269128,9185,465740,272135,1126967,462852,1329,10325,1218226,993911,994784,941475,3225,7556,5762,6121,192485,1202632,1210522,1202163,5498,1004377,4258,8606,1220934,7208,1213004,1210486,1639,43490,7107,1090969,8918,7166,315,1087903,1144418,219008,7254,7711,5112,759016,1215812,270456,4992,1187212,10075,1137083,501962,8112,4695,8691,6643,63050,290,198,10288,4803,4281,686733,403745,1058114,5560,118277,3707,175722,1203668,971540,1178759,8733,1129340,804259,6897,477948,6320,8097,6305
