484312,109,535,173,278551,45155,166650,1430,1744,1791,438,2478,2059,7571,190,4098,1104,1101,2006,182,1760,1981,1451,6799,4055,1519,2375,3502,3583,2252,973,1087,6929,1022,3997,2603,5991,526,115,9397,3274,5367,991,4420,3030,279316,3952,3710,106,369,849972,133,1778,5992,2688,3528,8717,508860,2009,476,413,598,1159797,1173407,690938,2337,1195256,853173,4147,914588,927801,4022,1183566,8551,1201979,2641,6244,268763,1198863,1157798,1207831,5398,1178614,1027,1167959,498,117,1034,372,1802,960,1581,1201411,4212,1726,3136,1182847,3014,1019,596
109,484312,535,1430,1744,173,45155,166650,1791,438,278551,2478,190,2059,182,4098,1101,1104,7571,1981,2006,1760,1451,1519,4055,6799,2603,3502,973,526,2252,2375,3583,1778,3997,1087,9397,1022,6929,46687,3030,2688,3274,991,115,5991,598,5367,3952,3710,279316,4420,133,1034,369,8551,849972,3528,5992,2009,9282,596,508860,106,2337,7112,8717,4212,5398,1197593,6244,413,1140837,1201922,888902,4022,1157504,476,927801,1155314,1195256,4147,1027,960,181,914588,1726,1802,117,1182675,3136,1083,1181947,1019,1206295,3052,1847,9696,1836,690938
109,535,484312,1430,1744,173,45155,166650,1791,438,278551,190,2478,182,1101,2059,9397,1104,4098,1981,2006,1451,7571,1760,1519,6799,4055,2603,973,2252,3502,526,46687,3583,1778,3997,2375,1087,2688,1022,3030,6929,3274,991,115,598,3952,5367,3710,5991,133,1034,369,279316,8551,4420,9282,3528,849972,2009,2337,6244,7112,508860,596,4212,5398,1083,4022,1199269,476,960,927801,181,1199390,5992,8717,1019,1027,413,4147,1195256,1802,3052,6191,106,1726,117,3136,5669,1836,1847,958,2142,9696,914588,3190,3014,1581,6542
109,535,484312,1430,1744,173,45155,1791,166650,438,190,182,278551,2478,1101,1104,9397,1981,2059,1451,4098,46687,2006,6799,7571,1760,1519,2603,526,4055,973,3502,2252,1778,1087,3583,3997,2688,1022,2375,3030,6929,3274,991,115,598,5367,3952,5991,849972,1034,9282,3528,369,3710,133,4420,279316,8551,6244,2337,508860,7112,596,4212,5398,2009,1802,4022,476,960,1083,927801,1019,3052,1027,181,117,5669,4147,1836,8717,1726,1195256,958,1847,3136,6191,2168,9696,413,3190,2142,5992,6542,3014,1581,957,1108026,2390
484312,109,535,173,1430,1744,45155,1791,438,166650,182,190,2478,2059,1981,46687,1101,1104,4098,2006,1451,2603,9397,278551,7571,6799,1760,973,1519,2252,3502,4055,1778,1087,1802,1150333,1179256,1192170,1045978,1150236,3583,2688,3997,2375,1022,3274,6929,3030,526,115,9282,598,5367,9696,3528,991,1034,5991,1210968,508860,3952,4420,1142295,133,279316,7112,596,3710,8551,849972,369,4212,2337,1105209,6244,853173,1217005,886878,1155314,1140837,1204317,1180324,5398,5669,2081,4022,960,2009,491,117,1195284,927801,1847,1027,3052,1083,6542,1019,181,958
173,109,535,484312,1430,1744,45155,1791,438,166650,190,2059,182,1104,2478,1101,4098,7571,2006,1981,1451,6799,1760,1519,4055,2252,973,2603,278551,9397,3502,1087,3583,2375,1167959,1173407,3997,2688,1204319,6929,115,3274,1778,3030,1022,5367,526,991,5991,46687,4420,508860,476,279316,598,133,369,1802,3952,849972,3528,3710,9282,8551,1034,2337,6244,9696,841989,117,4022,1197593,1157798,1183566,5398,1211218,5669,874649,960,4212,927801,1100651,1027,596,1189482,6542,7112,8717,1019,181,2009,2480,1195256,3136,914588,3052,1211287,1083,33640,3014
535,173,109,476,484312,1430,1744,45155,72075,1802,1791,438,166650,190,2059,1104,182,2478,7571,1101,4098,6799,1451,2006,1981,4055,1760,1519,2252,3502,1087,973,7505,9397,2603,278551,3583,3030,3997,2375,2688,6929,115,5367,3274,991,4420,1022,5991,526,1778,369,508860,279316,133,8551,861639,3952,598,3710,849972,6244,2337,5398,4022,117,3528,1138844,4147,1201979,960,8717,6542,1160582,927801,881733,1027,1034,4212,33640,2009,5669,9282,3014,181,1019,596,2480,914588,3136,46687,1083,3052,957,1726,9696,2142,1195256,6191,6825
535,109,278551,173,1744,1430,45155,484312,166650,1791,438,190,1802,182,2059,2478,9397,1104,1101,7571,2006,4098,1981,6799,1451,4055,46687,1760,2603,2252,3502,1519,1087,973,3030,2688,1778,526,476,3583,7505,3997,3274,6929,2375,115,5367,1022,991,5991,508860,6542,598,4420,1160582,3528,8551,279316,9282,1034,369,1213216,133,3952,1215184,3710,1221987,1197593,596,2168,5398,861639,1218770,6244,2337,7112,1195284,1182483,4212,1207806,1074105,181,849972,8717,960,5669,4022,117,1019,1200559,3052,1083,927801,2009,2480,1027,1105209,9696,491,4147
278551,535,109,484312,1430,1744,173,45155,1210296,997625,1214627,438267,1207057,190,166650,1126244,1791,438,1802,182,9397,46687,2478,1202825,1981,1215349,1104,2059,1101,2006,4098,2603,1451,7571,6799,1760,1519,4055,973,2252,3502,1778,1087,2688,2385,3030,526,2375,3274,3583,3997,1022,6929,6542,3528,115,1105209,598,1197573,991,5367,1034,9282,8551,2480,5991,7505,508860,1200559,279316,596,3952,1138844,7112,1213178,1219685,1201979,133,1122775,3710,1195368,1223882,1201228,4212,369,6244,4420,2337,5398,1074105,5669,8717,181,3052,1019,4022,117,1083,960,1847
278551,535,109,1430,484312,1744,45155,173,166650,1791,438,190,182,46687,9397,1981,2478,2059,1104,973,1101,2006,4098,2603,1451,7571,1519,6799,1760,2688,1778,4055,2252,3502,1087,526,3030,2375,3528,3274,1022,3583,1200559,3997,598,1802,6929,2480,115,1034,991,9282,2641,5367,508860,8551,596,9696,5991,3952,1223172,7112,279316,1040995,1219023,1224664,3710,4212,2337,888902,6244,6542,133,369,8011,5398,1083,7505,1105209,5669,2009,5992,181,3052,2385,1847,4420,1019,960,4022,1211040,881733,117,958,1027,8717,1836,927801,6191,476
