72
23350,2.600902067381197
23384
23544
23565,3.038555710894916
23675
23691,3.13211405157086
23767
23782
23784,2.391015678249968
23793,2.671833132706306
23796,3.1274420250353865
23852,3.0224227636380476
23868
23885
23888,3.0999350566449984
23900
23916
23922
28314
28316
28320
28329
28356
28385,2.9344490986264793
28497,3.087643810113386
28501,2.873501757111141
28505,3.128301422716577
28536
28538
28551
28584
28628
28655,2.9926394468710686,2.952340295308935
28860
29137,3.1328191282618993
29165
29172
29178,3.059897025951849,3.1221504599154497,3.0680511699782618,3.0632871185913917,3.014033699974295
29209
29227
29239,3.1228138627369897,3.0094530282102983,3.1219845238883246,2.970031907478021,3.1140540979167346
29246,3.11348726349115,3.129492582073805
29266,3.1021927076928986
29469
29478
29509,3.1263739475726084,3.123411336259674
29516
29537,3.092340271677138,3.0257966137998915,3.0935842114851733
29724
29731,2.966960658726694
29738,2.751325532730375
29761,2.6314799135889926
29768,2.946405760562915
29819,3.123795339266737
29827
29992,2.7363812262323375
30008
30114
30225
30290,2.6932437237959532
30297,3.128546910723525
30322
30338
30363,3.0445056380853566
30417,3.1130767477622365,2.9622022116931714
30424
30460
30580,3.1330765153395204
30586,3.0695421491853345
30613
30648,3.13059792463834,3.1278589540861272
30731,2.9781333098665357,2.9702805302782576,2.955693728620828
30739
30870
30881
30895
30900,3.0556763589268847
30906
30942,3.1119901030889956
30949
30956,3.117531139481864
31178
31279
31526
31533
31657
31708
31732
31760
31794
31903,2.809042790854752
31937,2.6821729325820494
31963,2.140627673766295
31983,2.6935774079284305,2.4500970470517838
31993,2.856412452559644,2.9153702904417624
32042
32123
32125
32142,3.0579831732061358
32227
32404
32693
32694
32844,3.086945755547189,2.978510264383371,2.818717623342701,2.8184674063767217
32894,2.662542907575866
32905,3.055553607043522
32950,3.1317888105468947
32970
32976
33002
33009,3.1051346512035956
33023
33149,3.0622485310042102
33171,3.1323287067116032
33177,2.3462776740833724
33182,2.3611884214682566
33220,2.8926995185080706
33284
33403
33409,2.910356281775777
33425,3.106513898299701,2.9298427125669084
33426,2.897292535502155,3.094744033051357,3.083383742354619
33435,3.1202253018884107
33519
33537
33547,2.7342229874985557
33592
33603
33657
33663
33720
33733
33765
33774,3.0808271029649466,3.0319265354267007,2.8748419976525383,3.1029811726207788
33795
33815,3.1324389680386133
33816
33848
33900
33964
33977
33990
34022
34057
34120
34192,2.7463602010935535
34203,3.1325500537115403
34228
34248,3.1165953612826844
34270
34285,3.1319069882337045
34296
34309
34325,3.13313081006038,3.1301286739085477,3.1289348825931746,3.1227257085033813,3.1128203008866406
34335
34343
34356
34363
34385,3.125968209855432,3.0619309905016734
34389,3.1077812250742154
34415
34421
34428,3.133671126398162
34440,2.046008972562551
34468,3.1342025508749893
34469,3.1342836807093155
34470,3.134256836346581
34490,2.6376676374661105
34511
34517
34526,3.025369114385496
34531
34564,3.0854015657917215,3.0969607636832794,3.104501783036926
34571
34576,3.1342044648438456
34594
34627,2.9051682019810423
34628
34632,2.4715809349894746
34636,2.9335096557376126,3.0717680231975537
34643
34647,1.1823021885491354
34655
34658
34659,3.1127295344218258,3.1303132537052347,3.133009015305771
34667,2.9437223760887425,3.0303868724410004
34668,2.6539766653803403,2.2838720617133488
34671
34673,2.981091409132131
34681,3.108479450698553
34690,3.1274793281259945
34696
34704
34715,3.1272771896349685
34716,2.9478641644616204
34725,2.9277198340102357
34749,2.8723805688943336
34756
34760,2.779412225570435
34780
34783,3.008525227354405
34790,3.12566513102039
34817,2.7714154727182843
34821,2.8390090551458353,3.0736545581528203
34846,3.1341066113871063,2.8750156635559323
34873
34890,3.092911301073061
34895,3.1334338422887864
34905,3.0945064546916754,3.0595047377094673
34908,3.103139408418972
34911
34912,2.9110922483742407,2.9595667568820763
34917
34920
34923,2.665848158621909
34942,2.6677797103007332
34943
34945
34947,2.5618530362861516
34952
34957
34970
34971,3.1181391788485855
34974,3.1340706281799022
34982
34983
34992,3.0944329831364397
34996,2.9920296477090185,3.1086868114109136,3.087229457127224,3.068511604423963
35006
35017,3.0856772481049086,3.0989764063436267,3.1226363010508376
35019,2.930345165905496
35020,2.544827039391188
35039
35042,3.0736640188561104,3.099642815455046
35058,2.498792495300822
35096
35104,2.8516553644327947
35122
35136,3.09088335609416
35147
35149,2.865126835726207
35152
35163,2.862603854033213
35166,2.8566423084463617
35177
35190
35200,1.7788105450462859
35224,2.8605075941043117
35228
35244,2.9297821941301727
35250
35252
35267
35277,3.0974151197561763
35283
35300
35312,3.1272614767294895
35315,3.1330839377252966
35326,3.081143693735233,3.1022199384150086
35331,3.0650770394398403
35340
35343
35348
35355
35377,2.514490557631669
35379
35382
35385
35392,2.3568561455360078
35393
35408
35415,1.7451947912961736
35416
35419
35421,3.0345903621628656,2.9235424082944697,2.9793331871671933
35422
35424
35426,2.893381465442034
35440
35463
35466
35476,2.3308036898218356
35486
35507
35526
35535
35541
35545
35579
35583,3.0772988702939914,2.809645521854184
35609,2.92320114018941
35617
35631,3.1232232704087832
35634
35645,3.0936992665406207,2.801481427658186
35690
35701,3.1264436673837044,3.1279334929563785,3.12884532133606,3.128275525504291,3.1189433227054955,3.12179180560187,3.1330466108287967,3.1249958099410655,3.1204972344998687,3.1291159083268063
35707,3.0064029478051273,2.780677279513899
35710
35714,2.9269165880045245,3.0776164845059073
35742,3.134310329065319
35743
35750
35777,2.081865133289633
35788
35800
35821
35828
35830
35854
35868,3.0165895194085097,2.4664190811869915
35871
35890,3.1287723748988325,3.1295446551343695
35896
35899
35909
35916
35925
35933
